,batting_team,bowling_team,city,current_score,balls_left,wickets_left,crr,last_five,runs_x
34742,Sri Lanka,Bangladesh,Colombo,53,60,5,5.3,22.0,159
7247,Bangladesh,Sri Lanka,Colombo,68,73,7,8.680851063829786,39.0,155
728,Afghanistan,West Indies,St Kitts,46,55,5,4.246153846153846,14.0,110
18466,New Zealand,England,Durban,31,85,6,5.314285714285714,24.0,164
29324,South Africa,Australia,Cape Town,57,64,8,6.107142857142857,33.0,146
15825,India,South Africa,Durban,86,53,8,7.701492537313433,28.0,168
7519,Bangladesh,Sri Lanka,Mirpur,51,73,7,6.51063829787234,47.0,147
29705,South Africa,Australia,Colombo,86,35,6,6.070588235294117,27.0,146
28162,Pakistan,Sri Lanka,Colombo,108,34,7,7.534883720930233,40.0,175
2348,Australia,India,Rajkot,81,80,9,12.15,62.0,201
18020,New Zealand,Bangladesh,Mount Maunganui,61,57,7,5.809523809523809,20.0,194
19175,New Zealand,England,Wellington,119,42,9,9.153846153846152,58.0,196
3608,Australia,Pakistan,Johannesburg,92,53,6,8.238805970149254,34.0,164
24608,Pakistan,Bangladesh,Mirpur,68,58,8,6.580645161290323,23.0,135
22942,New Zealand,West Indies,Mount Maunganui,204,17,7,11.883495145631068,63.0,243
34024,Sri Lanka,Australia,Cape Town,28,79,6,4.097560975609756,19.0,101
42995,West Indies,Sri Lanka,Colombo,48,48,8,4.0,29.0,137
27781,Pakistan,South Africa,Dubai,31,71,6,3.795918367346939,20.0,98
14778,India,New Zealand,Delhi,151,27,10,9.741935483870968,63.0,202
22424,New Zealand,Sri Lanka,Wellington,111,46,7,9.0,30.0,162
14394,India,England,Manchester,127,32,5,8.659090909090908,49.0,165
40885,West Indies,England,Pallekele,150,17,7,8.737864077669903,35.0,179
20793,New Zealand,Pakistan,Napier,117,33,6,8.068965517241379,43.0,173
36237,Sri Lanka,India,Nagpur,60,72,9,7.5,46.0,215
2384,Australia,India,Rajkot,134,46,6,10.864864864864863,50.0,201
32793,South Africa,Sri Lanka,Centurion,49,74,9,6.391304347826087,35.0,180
40083,West Indies,Bangladesh,Mirpur,139,21,6,8.424242424242424,43.0,197
23181,Pakistan,Australia,Birmingham,104,43,5,8.103896103896103,55.0,167
27526,Pakistan,South Africa,Cape Town,109,35,8,7.694117647058824,56.0,176
17680,New Zealand,Australia,Wellington,33,81,8,5.076923076923077,30.0,118
11687,England,South Africa,Johannesburg,109,50,7,9.342857142857143,48.0,202
23617,Pakistan,Australia,Dubai,67,31,3,4.51685393258427,21.0,96
24418,Pakistan,Bangladesh,Kolkata,103,52,9,9.088235294117649,46.0,201
11849,England,South Africa,Nottingham,83,35,4,5.858823529411764,41.0,111
5164,Australia,Sri Lanka,Pallekele,211,20,8,12.66,81.0,263
25741,Pakistan,India,Kolkata,60,51,8,5.217391304347826,30.0,118
21316,New Zealand,South Africa,Hamilton,72,68,9,8.307692307692308,38.0,173
14005,India,England,Cardiff,89,34,6,6.209302325581396,40.0,148
280,Afghanistan,Sri Lanka,Kolkata,41,82,9,6.473684210526316,35.0,153
38910,West Indies,Afghanistan,Lucknow,106,43,7,8.25974025974026,35.0,164
41926,West Indies,New Zealand,Pallekele,113,26,4,7.212765957446808,25.0,139
42667,West Indies,Pakistan,Trinidad,75,38,5,5.487804878048781,22.0,124
34600,Sri Lanka,Bangladesh,Chittagong,77,70,7,9.24,48.0,168
3459,Australia,Pakistan,Dubai,88,5,1,4.591304347826087,20.0,89
19991,New Zealand,Pakistan,Barbados,41,83,8,6.648648648648648,23.0,133
27264,Pakistan,New Zealand,Wellington,86,14,2,4.867924528301887,34.0,105
31407,South Africa,India,Johannesburg,104,22,4,6.36734693877551,41.0,126
30092,South Africa,Australia,Sydney,104,41,8,7.89873417721519,36.0,145
35762,Sri Lanka,India,Colombo,60,85,8,10.285714285714286,56.0,170
10753,England,Pakistan,Dubai,120,16,7,6.923076923076923,36.0,148
26504,Pakistan,New Zealand,Christchurch,135,20,6,8.1,39.0,183
21265,New Zealand,South Africa,Durban,139,11,3,7.651376146788991,43.0,153
20642,New Zealand,Pakistan,Hamilton,175,9,5,9.45945945945946,76.0,185
289,Afghanistan,Sri Lanka,Kolkata,44,73,9,5.617021276595745,32.0,153
6060,Bangladesh,India,Colombo,67,63,7,7.052631578947368,35.0,166
4775,Australia,Sri Lanka,Adelaide,171,14,8,9.679245283018869,51.0,187
2373,Australia,India,Rajkot,117,57,7,11.142857142857142,47.0,201
38528,Sri Lanka,West Indies,London,77,48,7,6.416666666666667,29.0,158
19794,New Zealand,India,Nagpur,34,82,8,5.368421052631579,21.0,126
3126,Australia,Pakistan,Chandigarh,70,66,7,7.777777777777778,38.0,193
20808,New Zealand,Pakistan,Napier,133,18,5,7.823529411764706,43.0,173
17007,India,West Indies,Mumbai,55,83,10,8.91891891891892,51.0,192
6028,Bangladesh,India,Colombo,44,79,7,6.439024390243903,31.0,166
17536,New Zealand,Australia,Christchurch,134,33,6,9.241379310344827,62.0,214
23958,Pakistan,Australia,Mirpur,66,68,8,7.615384615384615,42.0,191
27353,Pakistan,South Africa,Abu Dhabi,78,56,6,7.3125,39.0,119
21964,New Zealand,Sri Lanka,Lauderhill,71,44,7,5.605263157894737,29.0,120
4508,Australia,South Africa,Johannesburg,188,4,4,9.724137931034482,46.0,196
1750,Australia,England,Sydney,146,18,4,8.588235294117647,42.0,195
39435,West Indies,Australia,St Lucia,52,73,7,6.638297872340425,28.0,105
27563,Pakistan,South Africa,Cape Town,172,3,7,8.820512820512821,41.0,176
36471,Sri Lanka,New Zealand,Auckland,115,13,2,6.4485981308411215,49.0,115
25374,Pakistan,England,Dubai,103,19,5,6.118811881188119,40.0,129
11713,England,South Africa,Johannesburg,134,37,7,9.686746987951809,59.0,202
1636,Australia,England,Sydney,52,74,9,6.782608695652174,36.0,195
12884,India,Australia,Colombo,89,39,5,6.592592592592593,25.0,140
4540,Australia,South Africa,Melbourne,82,72,9,10.25,45.0,182
37449,Sri Lanka,Pakistan,Lahore,44,85,7,7.542857142857143,34.0,147
28106,Pakistan,Sri Lanka,Colombo,71,62,7,7.344827586206897,24.0,172
34499,Sri Lanka,Australia,Pallekele,104,37,7,7.518072289156627,34.0,198
31836,South Africa,New Zealand,Barbados,49,82,9,7.736842105263157,37.0,170
8266,England,Afghanistan,Delhi,132,6,3,6.947368421052632,47.0,142
37904,Sri Lanka,Pakistan,London,146,4,5,7.551724137931035,33.0,150
23229,Pakistan,Australia,Birmingham,143,19,4,8.495049504950495,45.0,167
2819,Australia,India,Sydney,157,18,8,9.235294117647058,53.0,186
28696,Pakistan,West Indies,Karachi,106,52,8,9.352941176470589,41.0,203
29267,South Africa,Australia,Brisbane,157,0,5,7.85,50.0,157
34041,Sri Lanka,Australia,Cape Town,43,62,4,4.448275862068965,23.0,101
40282,West Indies,England,Chester-le-Street,120,52,7,10.588235294117649,42.0,176
1628,Australia,England,Sydney,50,78,9,7.142857142857143,43.0,195
18096,New Zealand,Bangladesh,Mount Maunganui,150,19,7,8.910891089108912,73.0,194
29452,South Africa,Australia,Cape Town,171,2,6,8.694915254237289,50.0,178
33067,South Africa,Sri Lanka,Hambantota,28,88,9,5.25,26.0,145
27562,Pakistan,South Africa,Cape Town,167,4,7,8.637931034482758,41.0,176
2629,Australia,India,Sydney,79,54,7,7.181818181818182,29.0,164
23416,Pakistan,Australia,Dubai,59,80,10,8.85,49.0,150
32534,South Africa,Pakistan,Johannesburg,82,61,8,8.338983050847459,29.0,153
38510,Sri Lanka,West Indies,London,64,66,10,7.111111111111111,41.0,158
31848,South Africa,New Zealand,Barbados,56,70,8,6.72,28.0,170
35060,Sri Lanka,Bangladesh,Pallekele,196,1,5,9.882352941176473,70.0,198
243,Afghanistan,India,St Lucia,94,24,7,5.875,40.0,115
10634,England,Pakistan,Dubai,97,45,6,7.76,39.0,150
6139,Bangladesh,India,Colombo,108,27,5,6.967741935483871,35.0,139
22115,New Zealand,Sri Lanka,Mount Maunganui,152,16,7,8.76923076923077,45.0,182
12339,England,West Indies,Kolkata,138,13,2,7.738317757009346,35.0,155
12624,England,West Indies,Trinidad,117,14,3,6.622641509433962,22.0,121
36544,Sri Lanka,New Zealand,Chittagong,78,40,6,5.85,28.0,119
13415,India,Bangladesh,Colombo,71,58,9,6.870967741935484,27.0,176
29881,South Africa,Australia,Johannesburg,134,33,7,9.241379310344827,47.0,204
8689,England,Australia,Hobart,105,52,7,9.264705882352942,44.0,155
15751,India,South Africa,Durban,49,90,9,9.8,48.0,168
40018,West Indies,Bangladesh,Mirpur,101,41,7,7.670886075949367,40.0,197
8913,England,Australia,Melbourne,115,11,3,6.330275229357798,22.0,130
25794,Pakistan,India,Mirpur,32,86,8,5.647058823529412,27.0,83
9596,England,India,Manchester,157,0,2,7.785123966942149,40.0,159
3774,Australia,Pakistan,St Lucia,85,63,8,8.947368421052632,45.0,191
711,Afghanistan,West Indies,St Kitts,43,64,6,4.607142857142857,17.0,110
43115,West Indies,Sri Lanka,Pallekele,42,67,8,4.754716981132075,28.0,129
30098,South Africa,Australia,Sydney,112,35,8,7.905882352941177,33.0,145
18650,New Zealand,England,London,53,87,9,9.636363636363637,52.0,201
10645,England,Pakistan,Dubai,99,42,6,7.615384615384615,40.0,150
4818,Australia,Sri Lanka,Barbados,42,80,6,6.3,27.0,168
36073,Sri Lanka,India,Mirpur,73,44,6,5.7631578947368425,38.0,138
11037,England,Pakistan,Manchester,102,34,6,7.116279069767442,30.0,135
30561,South Africa,England,Cape Town,102,32,7,6.954545454545454,38.0,191
7195,Bangladesh,Sri Lanka,Chittagong,113,9,2,6.108108108108108,41.0,120
38220,Sri Lanka,South Africa,Delhi,62,72,8,7.75,32.0,120
6086,Bangladesh,India,Colombo,77,51,6,6.695652173913044,35.0,166
30569,South Africa,England,Cape Town,128,29,7,8.43956043956044,40.0,179
492,Afghanistan,West Indies,Lucknow,101,33,6,6.965517241379311,38.0,156
9443,England,India,London,76,52,8,6.705882352941177,32.0,153
17385,New Zealand,Australia,Auckland,103,42,3,7.923076923076923,30.0,150
23991,Pakistan,Australia,Mirpur,130,37,7,9.397590361445785,60.0,191
30447,South Africa,England,Cape Town,76,69,9,8.941176470588236,55.0,179
8636,England,Australia,Chester-le-Street,182,11,8,10.01834862385321,56.0,195
23843,Pakistan,Australia,Harare,66,43,4,5.142857142857143,35.0,116
40542,West Indies,England,London,89,41,8,6.759493670886076,31.0,125
12470,England,West Indies,Mumbai,63,72,9,7.875,36.0,182
42639,West Indies,Pakistan,Trinidad,53,66,8,5.888888888888889,26.0,124
30562,South Africa,England,Cape Town,92,32,5,6.2727272727272725,31.0,154
41682,West Indies,New Zealand,Lauderhill,45,80,9,6.75,30.0,209
22721,New Zealand,West Indies,Hamilton,146,36,7,10.428571428571429,45.0,191
40854,West Indies,England,Pallekele,115,47,9,9.452054794520548,61.0,179
18218,New Zealand,Bangladesh,Pallekele,158,13,8,8.85981308411215,50.0,191
27423,Pakistan,South Africa,Abu Dhabi,86,23,4,5.319587628865979,29.0,120
32646,South Africa,Pakistan,Johannesburg,156,6,7,8.210526315789474,53.0,188
22736,New Zealand,West Indies,Hamilton,161,22,5,9.857142857142858,30.0,191
30785,South Africa,England,Centurion,185,35,9,13.058823529411764,63.0,241
31549,South Africa,India,Nottingham,44,91,9,9.10344827586207,44.0,130
31917,South Africa,New Zealand,Barbados,169,1,6,8.521008403361344,61.0,170
29045,South Africa,Afghanistan,Barbados,90,34,5,6.27906976744186,18.0,139
33125,South Africa,Sri Lanka,Hambantota,55,65,7,6.0,31.0,145
40639,West Indies,England,London,84,18,6,4.941176470588236,30.0,113
15180,India,New Zealand,Wellington,164,0,2,8.2,51.0,165
6080,Bangladesh,India,Colombo,72,53,6,6.447761194029851,24.0,139
41302,West Indies,India,Lauderhill,71,23,3,4.391752577319588,25.0,95
31818,South Africa,New Zealand,Auckland,158,4,3,8.172413793103448,28.0,165
14267,India,England,Kolkata,62,65,7,6.763636363636364,41.0,120
23787,Pakistan,Australia,Harare,72,71,9,8.816326530612244,38.0,194
17273,India,West Indies,Trinidad,137,8,4,7.339285714285714,54.0,159
17176,India,West Indies,Mumbai,233,3,8,11.948717948717947,65.0,240
24515,Pakistan,Bangladesh,Mirpur,52,81,9,8.0,41.0,190
4741,Australia,Sri Lanka,Adelaide,176,30,9,11.733333333333333,60.0,233
1904,Australia,India,Brisbane,67,66,8,7.444444444444445,43.0,158
13094,India,Australia,Melbourne,97,54,9,8.818181818181818,47.0,184
18209,New Zealand,Bangladesh,Pallekele,134,22,8,8.204081632653061,45.0,191
32940,South Africa,Sri Lanka,Colombo,44,66,7,4.888888888888889,31.0,115
3230,Australia,Pakistan,Dubai,35,80,8,5.25,24.0,89
20151,New Zealand,Pakistan,Cape Town,107,22,3,6.551020408163265,32.0,143
11133,England,South Africa,Barbados,100,45,8,8.0,30.0,168
26625,Pakistan,New Zealand,Dubai,85,58,8,8.225806451612904,51.0,161
19354,New Zealand,India,Auckland,77,77,10,10.744186046511627,52.0,203
18438,New Zealand,England,Delhi,135,19,6,8.01980198019802,36.0,153
34737,Sri Lanka,Bangladesh,Colombo,96,62,9,9.93103448275862,38.0,214
19533,New Zealand,India,Auckland,178,19,7,10.574257425742577,62.0,203
5703,Australia,West Indies,Mirpur,174,0,2,8.557377049180328,43.0,178
33494,South Africa,West Indies,Cape Town,95,45,7,7.6,47.0,165
17028,India,West Indies,Mumbai,65,73,9,8.297872340425531,50.0,192
39642,West Indies,Australia,Sydney,89,31,4,6.0,30.0,138
8235,England,Afghanistan,Delhi,81,36,4,5.785714285714286,24.0,142
37399,Sri Lanka,Pakistan,Hambantota,82,28,5,5.3478260869565215,29.0,132
22388,New Zealand,Sri Lanka,Wellington,79,80,10,11.85,54.0,162
34364,Sri Lanka,Australia,Melbourne,119,11,5,6.5504587155963305,30.0,142
39257,West Indies,Australia,Colombo,84,67,8,9.50943396226415,63.0,191
33671,South Africa,West Indies,Johannesburg,121,60,8,12.1,72.0,231
6256,Bangladesh,India,Mirpur,65,64,7,6.964285714285714,35.0,120
13632,India,Bangladesh,Mirpur,107,26,6,6.829787234042553,51.0,166
13760,India,Bangladesh,Nottingham,54,84,10,9.0,43.0,180
7776,Bangladesh,West Indies,Lauderhill,102,53,6,9.134328358208956,29.0,184
11376,England,South Africa,Cardiff,131,38,7,9.585365853658535,58.0,181
23993,Pakistan,Australia,Mirpur,135,35,7,9.529411764705882,63.0,191
35589,Sri Lanka,England,St Lucia,75,42,6,5.769230769230769,32.0,128
36414,Sri Lanka,New Zealand,Auckland,76,41,4,5.772151898734177,27.0,142
16904,India,West Indies,Lucknow,50,83,10,8.108108108108109,46.0,195
12157,England,West Indies,Barbados,71,51,7,6.173913043478261,39.0,152
789,Afghanistan,West Indies,St Kitts,104,25,6,6.568421052631579,41.0,146
30097,South Africa,Australia,Sydney,112,36,8,8.0,34.0,145
9506,England,India,Manchester,53,85,9,9.085714285714284,43.0,159
20176,New Zealand,Pakistan,Chandigarh,38,91,10,7.862068965517241,38.0,180
37624,Sri Lanka,Pakistan,Lahore,127,29,8,8.373626373626374,39.0,165
22767,New Zealand,West Indies,Mount Maunganui,42,89,10,8.129032258064516,42.0,238
7609,Bangladesh,West Indies,Dhaka,65,80,9,9.75,50.0,211
24754,Pakistan,Bangladesh,Mirpur,146,23,7,9.030927835051546,62.0,190
4261,Australia,South Africa,Johannesburg,74,80,9,11.1,58.0,196
26958,Pakistan,New Zealand,Hamilton,128,18,5,7.529411764705882,50.0,163
7040,Bangladesh,South Africa,Cape Town,78,71,5,9.551020408163266,33.0,144
24203,Pakistan,Australia,St Lucia,151,17,6,8.79611650485437,52.0,191
26884,Pakistan,New Zealand,Hamilton,73,53,6,6.537313432835821,40.0,163
29353,South Africa,Australia,Cape Town,68,50,8,5.828571428571428,29.0,146
11859,England,South Africa,Nottingham,92,25,2,5.810526315789474,36.0,111
21394,New Zealand,South Africa,Johannesburg,38,85,8,6.514285714285714,34.0,129
1354,Australia,England,Melbourne,74,58,6,7.161290322580645,23.0,147
34334,Sri Lanka,Australia,Melbourne,108,26,6,6.893617021276596,45.0,161
41202,West Indies,India,Lauderhill,45,55,5,4.153846153846154,12.0,95
21832,New Zealand,Sri Lanka,Johannesburg,114,34,5,7.953488372093023,37.0,164
16206,India,Sri Lanka,Colombo,141,22,7,8.63265306122449,46.0,174
3670,Australia,Pakistan,Melbourne,51,82,9,8.052631578947368,43.0,127
22237,New Zealand,Sri Lanka,Pallekele,63,57,6,6.0,28.0,142
30961,South Africa,England,Chittagong,196,1,6,9.882352941176473,74.0,196
16882,India,West Indies,London,137,10,5,7.472727272727273,62.0,153
5159,Australia,Sri Lanka,Pallekele,194,24,8,12.125,73.0,263
29934,South Africa,Australia,Johannesburg,183,7,7,9.716814159292037,57.0,201
10027,England,New Zealand,Hamilton,123,37,7,8.891566265060241,45.0,194
25615,Pakistan,India,Colombo,40,85,8,6.857142857142857,27.0,128
23384,Pakistan,Australia,Dubai,45,88,10,8.4375,44.0,150
17518,New Zealand,Australia,Christchurch,90,51,6,7.826086956521739,28.0,214
11767,England,South Africa,Johannesburg,161,11,3,8.862385321100918,53.0,171
9378,England,India,Bristol,158,25,6,9.978947368421052,44.0,198
37635,Sri Lanka,Pakistan,Lahore,142,25,7,8.968421052631578,44.0,182
38830,Sri Lanka,West Indies,Pallekele,131,30,8,8.733333333333333,39.0,215
12819,India,Australia,Adelaide,160,12,8,8.88888888888889,46.0,188
8389,England,Australia,Cape Town,49,70,7,5.88,26.0,135
1648,Australia,England,Sydney,103,68,8,11.884615384615383,71.0,221
32300,South Africa,Pakistan,Cape Town,64,76,9,8.727272727272727,44.0,192
17880,New Zealand,Bangladesh,Mirpur,82,66,9,9.11111111111111,34.0,204
10549,England,Pakistan,Dubai,63,65,8,6.872727272727273,31.0,172
19611,New Zealand,India,Hamilton,79,77,10,11.023255813953488,59.0,212
28423,Pakistan,Sri Lanka,Johannesburg,189,0,4,9.45,55.0,189
298,Afghanistan,Sri Lanka,Kolkata,45,65,8,4.909090909090909,18.0,153
17443,New Zealand,Australia,Auckland,128,15,2,7.314285714285714,27.0,150
20782,New Zealand,Pakistan,Napier,97,44,7,7.657894736842105,38.0,173
19864,New Zealand,India,Nagpur,98,17,4,5.70873786407767,27.0,126
28575,Pakistan,West Indies,Dubai,99,37,7,7.156626506024097,37.0,160
35753,Sri Lanka,India,Colombo,56,88,10,10.5,56.0,171
17689,New Zealand,Australia,Wellington,37,72,7,4.625,29.0,118
15066,India,New Zealand,Wellington,71,56,7,6.65625,30.0,149
9186,England,Australia,Southampton,147,11,3,8.091743119266056,41.0,162
40444,West Indies,England,London,62,66,8,6.888888888888889,20.0,125
37392,Sri Lanka,Pakistan,Hambantota,70,35,5,4.941176470588236,20.0,132
12490,England,West Indies,Mumbai,92,53,8,8.238805970149254,43.0,182
214,Afghanistan,India,St Lucia,55,52,7,4.852941176470588,25.0,115
41736,West Indies,New Zealand,Lauderhill,85,54,9,7.727272727272727,42.0,177
16253,India,Sri Lanka,Mirpur,50,66,9,5.555555555555555,35.0,130
20960,New Zealand,South Africa,Centurion,94,55,8,8.676923076923076,40.0,177
4886,Australia,Sri Lanka,Barbados,138,12,5,7.666666666666667,60.0,168
10726,England,Pakistan,Dubai,136,22,6,8.326530612244898,55.0,172
41838,West Indies,New Zealand,Lauderhill,176,8,8,9.428571428571429,56.0,209
16670,India,Sri Lanka,St Lucia,132,27,8,8.516129032258064,38.0,163
9700,England,New Zealand,Auckland,59,85,8,10.114285714285714,53.0,184
35918,Sri Lanka,India,Colombo,117,34,7,8.162790697674419,41.0,171
39954,West Indies,Bangladesh,Mirpur,73,62,10,7.551724137931035,39.0,171
8047,Bangladesh,West Indies,St Kitts,130,16,3,7.5,23.0,143
28248,Pakistan,Sri Lanka,Hambantota,22,78,8,3.142857142857143,11.0,122
34472,Sri Lanka,Australia,Pallekele,92,50,8,7.885714285714286,41.0,198
34748,Sri Lanka,Bangladesh,Colombo,109,57,9,10.38095238095238,43.0,214
11655,England,South Africa,Johannesburg,70,65,7,7.636363636363637,41.0,171
14595,India,England,Nagpur,117,21,7,7.090909090909091,36.0,144
35864,Sri Lanka,India,Colombo,87,52,8,7.676470588235294,26.0,171
23303,Pakistan,Australia,Colombo,61,59,8,6.0,33.0,149
30805,South Africa,England,Centurion,172,26,7,10.97872340425532,59.0,222
23205,Pakistan,Australia,Birmingham,115,31,6,7.752808988764045,36.0,162
11544,England,South Africa,Durban,93,53,7,8.328358208955224,32.0,204
23140,Pakistan,Australia,Birmingham,61,62,6,6.310344827586207,29.0,167
34989,Sri Lanka,Bangladesh,Pallekele,80,66,8,8.88888888888889,35.0,198
23653,Pakistan,Australia,Dubai,75,22,2,4.591836734693878,24.0,96
34181,Sri Lanka,Australia,Colombo,112,15,3,6.4,36.0,128
24329,Pakistan,Bangladesh,Karachi,113,47,7,9.287671232876711,43.0,203
41704,West Indies,New Zealand,Lauderhill,64,69,9,7.529411764705882,35.0,177
37660,Sri Lanka,Pakistan,Lahore,150,17,7,8.737864077669903,49.0,165
17509,New Zealand,Australia,Christchurch,73,60,7,7.3,25.0,214
8038,Bangladesh,West Indies,St Kitts,126,21,3,7.636363636363637,21.0,143
26123,Pakistan,New Zealand,Auckland,58,73,8,7.404255319148936,47.0,171
42356,West Indies,Pakistan,Karachi,54,64,9,5.785714285714286,37.0,153
23380,Pakistan,Australia,Dubai,31,88,7,5.8125,29.0,96
13510,India,Bangladesh,Delhi,73,54,7,6.636363636363637,38.0,148
10923,England,Pakistan,Manchester,26,89,9,5.032258064516129,25.0,131
8602,England,Australia,Chester-le-Street,118,45,9,9.44,39.0,195
8097,England,Afghanistan,Colombo,56,76,9,7.636363636363637,51.0,196
553,Afghanistan,West Indies,Lucknow,152,4,2,7.862068965517241,47.0,156
22289,New Zealand,Sri Lanka,Pallekele,68,40,3,5.1,44.0,74
4279,Australia,South Africa,Johannesburg,57,75,8,7.6,44.0,166
5689,Australia,West Indies,Mirpur,152,13,4,8.523364485981308,42.0,178
19241,New Zealand,England,Wellington,146,21,5,8.848484848484848,46.0,176
23983,Pakistan,Australia,Mirpur,120,45,8,9.6,65.0,191
17307,New Zealand,Australia,Auckland,65,81,8,10.0,48.0,150
31659,South Africa,New Zealand,Auckland,57,82,9,9.0,44.0,185
7630,Bangladesh,West Indies,Dhaka,98,60,9,9.8,50.0,211
14742,India,New Zealand,Delhi,77,63,10,8.105263157894736,39.0,202
1039,Australia,England,Barbados,25,83,7,4.054054054054054,19.0,147
23204,Pakistan,Australia,Birmingham,126,31,5,8.49438202247191,55.0,167
14512,India,England,Mumbai,166,10,5,9.054545454545456,63.0,177
36638,Sri Lanka,New Zealand,Nottingham,104,37,7,7.518072289156627,34.0,158
14659,India,New Zealand,Christchurch,90,51,4,7.826086956521739,32.0,162
11293,England,South Africa,Cape Town,106,24,4,6.625,27.0,134
13109,India,Australia,Melbourne,50,47,4,4.109589041095891,15.0,74
13666,India,Bangladesh,Nagpur,37,85,8,6.342857142857143,34.0,174
4078,Australia,South Africa,Cape Town,120,50,9,10.285714285714286,36.0,193
13612,India,Bangladesh,Mirpur,78,46,7,6.324324324324325,38.0,166
4385,Australia,South Africa,Johannesburg,125,42,6,9.615384615384617,40.0,196
4683,Australia,Sri Lanka,Adelaide,116,59,10,11.40983606557377,63.0,233
8905,England,Australia,Melbourne,112,14,3,6.339622641509434,20.0,130
29391,South Africa,Australia,Cape Town,92,31,7,6.202247191011236,34.0,146
28831,Pakistan,West Indies,Trinidad,52,76,8,7.090909090909091,35.0,137
12145,England,West Indies,Barbados,98,57,10,9.333333333333334,38.0,165
4218,Australia,South Africa,Durban,152,6,2,8.0,43.0,157
1284,Australia,England,Manchester,86,35,7,6.070588235294117,30.0,145
34770,Sri Lanka,Bangladesh,Colombo,76,46,5,6.162162162162162,36.0,159
38500,Sri Lanka,West Indies,London,48,76,10,6.545454545454546,37.0,158
23936,Pakistan,Australia,Mirpur,30,89,8,5.806451612903226,25.0,191
15882,India,South Africa,Durban,100,25,6,6.315789473684211,38.0,153
28818,Pakistan,West Indies,Trinidad,42,83,8,6.8108108108108105,36.0,137
11820,England,South Africa,Nottingham,45,63,7,4.7368421052631575,20.0,111
43037,West Indies,Sri Lanka,Colombo,87,27,5,5.612903225806452,51.0,137
